ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,content,rating_count,average_rating,weighted_rating
0440241073,The Summons,John Grisham,2002,Dell Publishing Company,http://images.amazon.com/images/P/0440241073.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440241073.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440241073.01.LZZZZZZZ.jpg,The Summons John Grisham Dell Publishing Company,114,7.412280701754386,7.477394610669176
0553586122,Reap the Wind,Iris Johansen,2002,Bantam Books,http://images.amazon.com/images/P/0553586122.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553586122.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553586122.01.LZZZZZZZ.jpg,Reap the Wind Iris Johansen Bantam Books,26,7.730769230769231,7.781975604992815
0316154059,City of Bones,Michael Connelly,2002,Warner Books,http://images.amazon.com/images/P/0316154059.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316154059.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316154059.01.LZZZZZZZ.jpg,City of Bones Michael Connelly Warner Books,19,7.894736842105263,7.871048149478705
0345452550,A Cold Heart: An Alex Delaware Novel,JONATHAN KELLERMAN,2003,Ballantine Books,http://images.amazon.com/images/P/0345452550.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345452550.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345452550.01.LZZZZZZZ.jpg,A Cold Heart: An Alex Delaware Novel JONATHAN KELLERMAN Ballantine Books,21,7.476190476190476,7.6578262885285255
0399148639,Mortal Prey,John Sandford,2002,Putnam Publishing Group,http://images.amazon.com/images/P/0399148639.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399148639.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399148639.01.LZZZZZZZ.jpg,Mortal Prey John Sandford Putnam Publishing Group,23,7.956521739130435,7.906299484410919
0671024094,The Coffin Dancer (Lincoln Rhyme Novels (Paperback)),Jeffery Deaver,1999,Pocket Books,http://images.amazon.com/images/P/0671024094.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671024094.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671024094.01.LZZZZZZZ.jpg,The Coffin Dancer (Lincoln Rhyme Novels (Paperback)) Jeffery Deaver Pocket Books,21,7.857142857142857,7.852948239748037
0679450408,Silent Witness,Richard North Patterson,1997,Random House Inc,http://images.amazon.com/images/P/0679450408.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679450408.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679450408.01.LZZZZZZZ.jpg,Silent Witness Richard North Patterson Random House Inc,14,7.357142857142857,7.646202289107927
0743486226,Angels & Demons,Dan Brown,2003,Atria,http://images.amazon.com/images/P/0743486226.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743486226.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743486226.01.LZZZZZZZ.jpg,Angels & Demons Dan Brown Atria,23,7.826086956521739,7.836532042550454
0060391626,I Know This Much Is True (Oprah's Book Club),Wally Lamb,1998,Regan Books,http://images.amazon.com/images/P/0060391626.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060391626.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060391626.01.LZZZZZZZ.jpg,I Know This Much Is True (Oprah's Book Club) Wally Lamb Regan Books,50,8.3,8.17101254042385
0330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK),http://images.amazon.com/images/P/0330332775.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0330332775.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0330332775.01.LZZZZZZZ.jpg,Bridget Jones's Diary Helen Fielding Picador (UK),33,7.2727272727272725,7.4900165628239534
0670869902,How Stella Got Her Groove Back,Terry McMillan,1996,Viking Books,http://images.amazon.com/images/P/0670869902.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0670869902.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0670869902.01.LZZZZZZZ.jpg,How Stella Got Her Groove Back Terry McMillan Viking Books,22,6.409090909090909,7.094544710230227
0671021001,She's Come Undone (Oprah's Book Club),Wally Lamb,1998,Pocket,http://images.amazon.com/images/P/0671021001.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671021001.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671021001.01.LZZZZZZZ.jpg,She's Come Undone (Oprah's Book Club) Wally Lamb Pocket,146,7.760273972602739,7.770908902588371
0312195516,The Red Tent (Bestselling Backlist),Anita Diamant,1998,Picador USA,http://images.amazon.com/images/P/0312195516.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312195516.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312195516.01.LZZZZZZZ.jpg,The Red Tent (Bestselling Backlist) Anita Diamant Picador USA,226,8.358407079646017,8.316954787925486
0446608955,A Walk to Remember,Nicholas Sparks,2000,Warner Books,http://images.amazon.com/images/P/0446608955.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446608955.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446608955.01.LZZZZZZZ.jpg,A Walk to Remember Nicholas Sparks Warner Books,90,7.7555555555555555,7.7724625257242685
0670892963,Bridget Jones : The Edge of Reason,Helen Fielding,2000,Viking Books,http://images.amazon.com/images/P/0670892963.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0670892963.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0670892963.01.LZZZZZZZ.jpg,Bridget Jones : The Edge of Reason Helen Fielding Viking Books,51,7.2745098039215685,7.436209546896754
0804114986,The Bonesetter's Daughter,Amy Tan,2002,Ballantine Books,http://images.amazon.com/images/P/0804114986.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0804114986.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0804114986.01.LZZZZZZZ.jpg,The Bonesetter's Daughter Amy Tan Ballantine Books,75,8.026666666666667,7.989167135049152
002542730X,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994,John Wiley & Sons Inc,http://images.amazon.com/images/P/002542730X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/002542730X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/002542730X.01.LZZZZZZZ.jpg,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times James Finn Garner John Wiley & Sons Inc,54,7.796296296296297,7.810417267968507
0061009059,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1995,HarperTorch,http://images.amazon.com/images/P/0061009059.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061009059.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061009059.01.LZZZZZZZ.jpg,One for the Money (Stephanie Plum Novels (Paperback)) Janet Evanovich HarperTorch,103,7.87378640776699,7.869681933574548
0316776963,Me Talk Pretty One Day,David Sedaris,2001,Back Bay Books,http://images.amazon.com/images/P/0316776963.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316776963.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316776963.01.LZZZZZZZ.jpg,Me Talk Pretty One Day David Sedaris Back Bay Books,115,8.017391304347827,7.9923768728123665
0345413903,The Murder Book,Jonathan Kellerman,2003,Ballantine Books,http://images.amazon.com/images/P/0345413903.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345413903.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345413903.01.LZZZZZZZ.jpg,The Murder Book Jonathan Kellerman Ballantine Books,48,8.020833333333334,7.970159968083376
0380702843,The Return of the Indian (Indian in the Cupboard),Lynne Reid Banks,1999,HarperTrophy,http://images.amazon.com/images/P/0380702843.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380702843.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380702843.01.LZZZZZZZ.jpg,The Return of the Indian (Indian in the Cupboard) Lynne Reid Banks HarperTrophy,18,8.61111111111111,8.20975994288604
0385424736,The Rainmaker,John Grisham,1995,Doubleday Books,http://images.amazon.com/images/P/0385424736.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385424736.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385424736.01.LZZZZZZZ.jpg,The Rainmaker John Grisham Doubleday Books,39,7.871794871794871,7.86391318355372
0385486804,Into the Wild,Jon Krakauer,1997,Anchor,http://images.amazon.com/images/P/0385486804.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385486804.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385486804.01.LZZZZZZZ.jpg,Into the Wild Jon Krakauer Anchor,73,8.082191780821917,8.031944922899672
0385503857,Oryx and Crake,Margaret Atwood,2003,Nan A. Talese,http://images.amazon.com/images/P/0385503857.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385503857.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385503857.01.LZZZZZZZ.jpg,Oryx and Crake Margaret Atwood Nan A. Talese,26,8.423076923076923,8.173279952818902
0385504209,The Da Vinci Code,Dan Brown,2003,Doubleday,http://images.amazon.com/images/P/0385504209.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385504209.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385504209.01.LZZZZZZZ.jpg,The Da Vinci Code Dan Brown Doubleday,325,8.569230769230769,8.527451819796143
039304016X,The Perfect Storm: A True Story of Men Against the Sea,Sebastian Junger,1997,Little Brown and Company,http://images.amazon.com/images/P/039304016X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/039304016X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/039304016X.01.LZZZZZZZ.jpg,The Perfect Storm: A True Story of Men Against the Sea Sebastian Junger Little Brown and Company,10,8.2,7.96569592765565
0399501487,Lord of the Flies,William Gerald Golding,1959,Perigee Trade,http://images.amazon.com/images/P/0399501487.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399501487.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399501487.01.LZZZZZZZ.jpg,Lord of the Flies William Gerald Golding Perigee Trade,85,8.105882352941176,8.05686550313971
0425116840,The Cardinal of the Kremlin (Jack Ryan Novels),Tom Clancy,1989,Berkley Publishing Group,http://images.amazon.com/images/P/0425116840.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425116840.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425116840.01.LZZZZZZZ.jpg,The Cardinal of the Kremlin (Jack Ryan Novels) Tom Clancy Berkley Publishing Group,32,7.53125,7.653286112109029
0425133516,The Hunt for Red October (Jack Ryan Novels),Tom Clancy,1997,Berkley Publishing Group,http://images.amazon.com/images/P/0425133516.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425133516.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425133516.01.LZZZZZZZ.jpg,The Hunt for Red October (Jack Ryan Novels) Tom Clancy Berkley Publishing Group,18,7.611111111111111,7.736075732359724
0440224764,The Partner,John Grisham,1998,Dell Publishing Company,http://images.amazon.com/images/P/0440224764.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440224764.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440224764.01.LZZZZZZZ.jpg,The Partner John Grisham Dell Publishing Company,105,7.6,7.639767022637356
0440236061,Unfit to Practice,Perri O'Shaughnessy,2003,Dell Publishing Company,http://images.amazon.com/images/P/0440236061.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440236061.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440236061.01.LZZZZZZZ.jpg,Unfit to Practice Perri O'Shaughnessy Dell Publishing Company,17,7.647058823529412,7.75596967107215
0440236738,Gone for Good,HARLAN COBEN,2003,Dell,http://images.amazon.com/images/P/0440236738.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440236738.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440236738.01.LZZZZZZZ.jpg,Gone for Good HARLAN COBEN Dell,27,8.148148148148149,8.020656975099353
0441627404,The Once and Future King,T. H. White,1987,Ace Books,http://images.amazon.com/images/P/0441627404.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0441627404.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0441627404.01.LZZZZZZZ.jpg,The Once and Future King T. H. White Ace Books,17,7.9411764705882355,7.891104806207285
0446350982,Presumed Innocent,Scott Turow,1988,Warner Books,http://images.amazon.com/images/P/0446350982.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446350982.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446350982.01.LZZZZZZZ.jpg,Presumed Innocent Scott Turow Warner Books,18,7.944444444444445,7.893970469201829
0446608890,Saving Faith,David Baldacci,2000,Warner Vision,http://images.amazon.com/images/P/0446608890.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446608890.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446608890.01.LZZZZZZZ.jpg,Saving Faith David Baldacci Warner Vision,34,7.5,7.629090330179065
0451191153,The Fountainhead,Ayn Rand,1996,New American Library,http://images.amazon.com/images/P/0451191153.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451191153.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451191153.01.LZZZZZZZ.jpg,The Fountainhead Ayn Rand New American Library,25,8.4,8.154908396214879
0451203593,24 Hours,Greg Iles,2001,Signet Book,http://images.amazon.com/images/P/0451203593.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451203593.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451203593.01.LZZZZZZZ.jpg,24 Hours Greg Iles Signet Book,19,7.947368421052632,7.896689175119731
0452284449,The Virgin Blue,Tracy Chevalier,2003,Plume Books,http://images.amazon.com/images/P/0452284449.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452284449.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452284449.01.LZZZZZZZ.jpg,The Virgin Blue Tracy Chevalier Plume Books,40,7.9,7.882847963827825
0553280368,C Is for Corpse (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1987,Bantam,http://images.amazon.com/images/P/0553280368.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553280368.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553280368.01.LZZZZZZZ.jpg,C Is for Corpse (Kinsey Millhone Mysteries (Paperback)) Sue Grafton Bantam,48,8.375,8.220159968083376
0553571656,The Beekeeper's Apprentice,LAURIE R. KING,1996,Bantam,http://images.amazon.com/images/P/0553571656.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553571656.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553571656.01.LZZZZZZZ.jpg,The Beekeeper's Apprentice LAURIE R. KING Bantam,24,7.958333333333333,7.908429041583398
0671528904,Mindhunter : Inside the FBI's Elite Serial Crime Unit,John E. Douglas,1996,Pocket,http://images.amazon.com/images/P/0671528904.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671528904.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671528904.01.LZZZZZZZ.jpg,Mindhunter : Inside the FBI's Elite Serial Crime Unit John E. Douglas Pocket,16,8.0,7.91585771749082
0679731148,A Year in Provence,Peter Mayle,1991,Vintage Books USA,http://images.amazon.com/images/P/0679731148.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679731148.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679731148.01.LZZZZZZZ.jpg,A Year in Provence Peter Mayle Vintage Books USA,38,8.026315789473685,7.965015134994302
0679736042,Toujours Provence (Vintage Departures),Peter Mayle,1992,Vintage Books USA,http://images.amazon.com/images/P/0679736042.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679736042.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679736042.01.LZZZZZZZ.jpg,Toujours Provence (Vintage Departures) Peter Mayle Vintage Books USA,19,7.2631578947368425,7.563355841786398
0740723367,The Meaning Of Life,Bradley Trevor Greive,2002,Andrews McMeel Publishing,http://images.amazon.com/images/P/0740723367.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0740723367.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0740723367.01.LZZZZZZZ.jpg,The Meaning Of Life Bradley Trevor Greive Andrews McMeel Publishing,17,8.529411764705882,8.161375076477555
0743406176,If Only It Were True,Marc Levy,2000,Atria,http://images.amazon.com/images/P/0743406176.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743406176.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743406176.01.LZZZZZZZ.jpg,If Only It Were True Marc Levy Atria,18,7.888888888888889,7.867654679728146
0743412028,Pay It Forward,Catherine Ryan Hyde,2000,Pocket,http://images.amazon.com/images/P/0743412028.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743412028.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743412028.01.LZZZZZZZ.jpg,Pay It Forward Catherine Ryan Hyde Pocket,41,7.439024390243903,7.57329307917491
0743457943,Trading Places,Fern Michaels,2003,Pocket Star,http://images.amazon.com/images/P/0743457943.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743457943.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743457943.01.LZZZZZZZ.jpg,Trading Places Fern Michaels Pocket Star,17,7.529411764705882,7.701915617018096
0767903382,Tender at the Bone: Growing Up at the Table,Ruth Reichl,1999,Broadway Books,http://images.amazon.com/images/P/0767903382.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0767903382.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0767903382.01.LZZZZZZZ.jpg,Tender at the Bone: Growing Up at the Table Ruth Reichl Broadway Books,16,8.0625,7.943635495268597
0786866845,Ice Bound: A Doctor's Incredible Battle for Survival at the South Pole,Dr. Jerri Nielsen,2001,Miramax,http://images.amazon.com/images/P/0786866845.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0786866845.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0786866845.01.LZZZZZZZ.jpg,Ice Bound: A Doctor's Incredible Battle for Survival at the South Pole Dr. Jerri Nielsen Miramax,23,8.217391304347826,8.04583436813185
0811802981,The Golden Mean: In Which the Extraordinary Correspondence of Griffin & Sabine Concludes,Nick Bantock,1993,Chronicle Books,http://images.amazon.com/images/P/0811802981.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0811802981.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0811802981.01.LZZZZZZZ.jpg,The Golden Mean: In Which the Extraordinary Correspondence of Griffin & Sabine Concludes Nick Bantock Chronicle Books,22,9.0,8.451687567373083
0811811409,"The Venetian's Wife: A Strangely Sensual Tale of a Renaissance Explorer, a Computer, and a Metamorphosis",Nick Bantock,1996,Chronicle Books,http://images.amazon.com/images/P/0811811409.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0811811409.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0811811409.01.LZZZZZZZ.jpg,"The Venetian's Wife: A Strangely Sensual Tale of a Renaissance Explorer, a Computer, and a Metamorphosis Nick Bantock Chronicle Books",18,8.277777777777779,8.051865206043935
0836217691,Homicidal Psycho Jungle Cat: A Calvin and Hobbes Collection,Bill Watterson,1994,Andrews McMeel Publishing,http://images.amazon.com/images/P/0836217691.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0836217691.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0836217691.01.LZZZZZZZ.jpg,Homicidal Psycho Jungle Cat: A Calvin and Hobbes Collection Bill Watterson Andrews McMeel Publishing,20,9.35,8.599271945741737
0836218515,Prehistory of the Far Side,Gary Larson,1989,Andrews McMeel Publishing,http://images.amazon.com/images/P/0836218515.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0836218515.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0836218515.01.LZZZZZZZ.jpg,Prehistory of the Far Side Gary Larson Andrews McMeel Publishing,16,8.4375,8.110302161935264
